,tract,year,prediction_lr,prediction_rf
203,020702,2017,0,0
3683,340600,2017,0,0
2116,210900,2017,0,0
4810,530600,2017,0,0
3067,837100,2017,0,0
205,020802,2017,0,0
2696,243100,2017,0,0
4302,431301,2017,1,0
2888,252101,2017,0,0
5168,840000,2017,0,0
2310,220601,2017,0,0
636,051400,2017,0,0
881,060800,2017,1,0
1513,140601,2017,0,0
6169,720600,2017,0,0
1507,140100,2017,1,0
6355,760803,2017,0,0
1984,191000,2017,1,0
5743,671800,2017,0,0
4181,420700,2017,0,0
3576,310800,2017,1,0
4825,540101,2017,0,0
2323,222200,2017,0,0
5742,671600,2017,0,0
1625,151001,2017,0,0
897,062700,2017,0,0
6311,750300,2017,0,0
635,051300,2017,0,0
2115,210800,2017,0,0
3620,839100,2017,0,0
1058,070700,2017,0,0
1317,810400,2017,0,0
1517,140800,2017,0,0
5589,660700,2017,0,0
5304,612100,2017,0,0
4180,420600,2017,1,0
85,010201,2017,0,0
5590,660800,2017,0,0
3951,390500,2017,0,0
4087,410200,2017,0,0
4478,460600,2017,0,0
4092,410900,2017,0,0
6309,750100,2017,0,0
1215,081000,2017,0,0
5295,611200,2017,1,0
3892,835800,2017,0,0
1827,170100,2017,0,0
5828,681100,2017,0,0
5299,611600,2017,0,0
5161,600400,2017,1,0
5090,840400,2017,0,0
4924,560700,2017,0,0
3888,381500,2017,0,0
5987,700100,2017,0,0
4097,836300,2017,0,0
3066,837000,2017,0,0
6229,730202,2017,0,0
4805,530300,2017,1,0
1623,150700,2017,1,0
4808,530502,2017,0,0
340,030800,2017,0,0
5305,842600,2017,0,0
3891,835700,2017,1,0
5831,681400,2017,0,0
6107,710800,2017,0,0
4089,410600,2017,0,0
1617,150300,2017,0,0
3743,350100,2017,0,0
5826,680900,2017,0,0
2319,221300,2017,0,0
4094,411100,2017,0,0
3571,310300,2017,0,0
1508,140200,2017,1,0
2677,240900,2017,0,0
4741,520200,2017,0,0
2439,230100,2017,0,0
1055,070400,2017,0,0
90,010502,2017,0,0
1509,140301,2017,0,0
327,030103,2017,0,0
4634,490901,2017,0,0
2111,210502,2017,1,0
5825,680600,2017,0,0
520,040402,2017,0,0
1828,170200,2017,0,0
3682,340500,2017,1,0
2109,210400,2017,0,0
2117,831100,2017,0,0
626,050300,2017,0,0
6168,720500,2017,1,0
431,031501,2017,1,0
6358,980000,2017,0,0
5300,611700,2017,0,0
4970,570500,2017,0,0
4477,460500,2017,0,0
1743,160700,2017,0,0
4663,500100,2017,0,0
339,030706,2017,1,0
6356,770602,2017,0,0
4742,520300,2017,0,0
1220,081401,2017,0,0
1397,120400,2017,1,0
628,050600,2017,0,0
1213,080300,2017,0,0
5588,660600,2017,0,0
6373,835500,2017,0,0
5593,661100,2017,0,0
1051,070102,2017,0,0
3618,320600,2017,1,0
1069,832600,2017,0,0
4635,490902,2017,0,0
4927,561000,2017,0,0
3223,833300,2017,0,0
2445,230700,2017,0,0
4641,834000,2017,0,0
3336,292200,2017,0,0
5338,620400,2017,0,0
894,062400,2017,1,0
6108,710900,2017,1,0
1229,842200,2017,0,0
5505,650400,2017,0,0
336,030701,2017,1,0
201,020602,2017,0,0
3746,351100,2017,0,0
5919,690300,2017,1,0
1216,081100,2017,0,0
6266,740400,2017,0,0
93,010701,2017,0,0
3894,836000,2017,0,0
2675,240700,2017,0,0
330,030300,2017,0,0
6264,740200,2017,0,0
1363,110400,2017,1,0
2311,220602,2017,0,0
2876,250800,2017,0,0
6374,835600,2017,0,0
1210,080100,2017,0,0
5296,611300,2017,0,0
4472,460100,2017,0,0
2444,230600,2017,0,0
2684,241600,2017,0,0
1980,190701,2017,0,0
1222,081403,2017,0,0
4628,490300,2017,1,0
5927,691400,2017,0,0
2451,836600,2017,0,0
325,030101,2017,0,0
88,010400,2017,0,0
4086,410100,2017,0,0
3482,301600,2017,0,0
5397,630300,2017,0,0
3578,841200,2017,0,0
5736,670900,2017,0,0
4178,420400,2017,0,0
2448,231100,2017,0,0
338,030703,2017,0,0
3580,843200,2017,0,0
5988,700200,2017,0,0
2690,242500,2017,0,0
331,030400,2017,0,0
5992,700402,2017,0,0
4376,440101,2017,0,0
4637,491100,2017,0,0
5167,839900,2017,0,0
525,830800,2017,0,0
1394,120100,2017,0,0
1223,081500,2017,0,0
3215,282700,2017,0,0
3896,380500,2017,0,0
3479,300900,2017,0,0
5830,681300,2017,0,0
2891,252202,2017,0,0
1056,070500,2017,0,0
434,031800,2017,0,0
2700,243500,2017,0,0
3060,271300,2017,0,0
6102,710300,2017,0,0
2688,242300,2017,0,0
1830,170400,2017,0,0
1829,170300,2017,1,0
1975,190300,2017,0,0
3744,350400,2017,0,0
2689,242400,2017,0,0
1982,190800,2017,0,0
2307,220300,2017,0,0
4695,510200,2017,0,0
4929,835200,2017,0,0
2873,250500,2017,1,0
3345,843100,2017,0,0
3062,271500,2017,0,0
2964,260100,2017,0,0
6233,730600,2017,1,0
89,010501,2017,0,0
5930,842500,2017,0,0
4291,430101,2017,1,0
3334,290900,2017,0,0
2108,210100,2017,0,0
5046,580502,2017,0,0
5732,670500,2017,0,0
4096,836200,2017,1,0
1316,100700,2017,0,0
2113,210602,2017,0,0
4528,480400,2017,0,0
5928,691500,2017,0,0
3998,400500,2017,0,0
3895,843600,2017,1,0
5728,670100,2017,0,0
2037,831200,2017,0,0
3883,380100,2017,0,0
4744,520500,2017,1,0
4697,838800,2017,0,0
3346,843300,2017,0,0
1059,071000,2017,1,0
3572,310400,2017,1,0
3889,381800,2017,0,0
5744,671900,2017,1,0
3219,283800,2017,0,0
1395,120200,2017,0,0
906,063400,2017,0,0
5454,640400,2017,0,0
1853,831600,2017,0,0
3952,390600,2017,0,0
2681,241300,2017,0,0
2699,243400,2017,0,0
5044,580400,2017,0,0
1365,110502,2017,0,0
1315,100600,2017,1,0
888,061901,2017,0,0
3343,841600,2017,1,0
3068,837300,2017,0,0
517,040202,2017,0,0
6109,711000,2017,0,0
1515,140701,2017,1,0
1986,191200,2017,0,0
1063,071400,2017,0,0
3212,280800,2017,0,0
5048,580700,2017,0,0
1068,832500,2017,1,0
2450,231500,2017,0,0
3341,841400,2017,1,0
3475,300500,2017,0,0
3616,320100,2017,0,0
1221,081402,2017,0,0
4182,420800,2017,0,0
3069,837400,2017,0,0
1225,081700,2017,0,0
2692,242700,2017,1,0
5991,700401,2017,0,0
207,020902,2017,1,0
1214,080400,2017,0,0
4474,460301,2017,0,0
3947,390100,2017,0,0
337,030702,2017,0,0
6105,710600,2017,1,0
883,061000,2017,1,0
3575,310700,2017,1,0
3886,381200,2017,0,0
2878,251100,2017,1,0
4475,460302,2017,1,0
329,030200,2017,1,0
5741,671500,2017,0,0
4526,480200,2017,1,0
