,Unnamed: 0,up_to_middle,not_highschool_grad,high_school_grad,some_college,associate,bachelor,graduate,year,tract,county,pop_over_25
607,75.0,0.09130913091309133,0.19251925192519254,0.2937293729372937,0.3586358635863587,0.0297029702970297,0.0121012101210121,0.022002200220022004,2017,351400.0,31.0,909.0
608,76.0,0.0,0.0,0.13114754098360654,0.2786885245901639,0.0,0.5901639344262295,0.0,2010,351500.0,31.0,61.0
609,76.0,0.0,0.0,0.13114754098360654,0.2786885245901639,0.0,0.5901639344262295,0.0,2011,351500.0,31.0,61.0
610,76.0,0.0,0.0,0.13114754098360654,0.2786885245901639,0.0,0.5901639344262295,0.0,2012,351500.0,31.0,61.0
611,76.0,0.0,0.0,0.13114754098360654,0.2786885245901639,0.0,0.5901639344262295,0.0,2013,351500.0,31.0,61.0
612,76.0,0.0,0.0,0.13114754098360654,0.2786885245901639,0.0,0.5901639344262295,0.0,2014,351500.0,31.0,61.0
613,76.0,0.0,0.0,0.13114754098360654,0.2786885245901639,0.0,0.5901639344262295,0.0,2015,351500.0,31.0,61.0
614,76.0,0.0,0.0,0.13114754098360654,0.2786885245901639,0.0,0.5901639344262295,0.0,2016,351500.0,31.0,61.0
615,76.0,0.0,0.0,0.13114754098360654,0.2786885245901639,0.0,0.5901639344262295,0.0,2017,351500.0,31.0,61.0
616,77.0,0.08858267716535434,0.1456692913385827,0.2677165354330709,0.1732283464566929,0.08661417322834647,0.16141732283464566,0.07677165354330709,2010,360200.0,31.0,508.0
617,77.0,0.08858267716535434,0.1456692913385827,0.2677165354330709,0.1732283464566929,0.08661417322834647,0.16141732283464566,0.07677165354330709,2011,360200.0,31.0,508.0
618,77.0,0.08858267716535434,0.1456692913385827,0.2677165354330709,0.1732283464566929,0.08661417322834647,0.16141732283464566,0.07677165354330709,2012,360200.0,31.0,508.0
619,77.0,0.08858267716535434,0.1456692913385827,0.2677165354330709,0.1732283464566929,0.08661417322834647,0.16141732283464566,0.07677165354330709,2013,360200.0,31.0,508.0
620,77.0,0.08858267716535434,0.1456692913385827,0.2677165354330709,0.1732283464566929,0.08661417322834647,0.16141732283464566,0.07677165354330709,2014,360200.0,31.0,508.0
